move, small_fish15, java.awt.Point[x=14,y=7], java.awt.Point[x=1,y=4], NORTH
move, small_fish6, java.awt.Point[x=16,y=4], java.awt.Point[x=10,y=6], NORTH
move, small_fish20, java.awt.Point[x=15,y=9], java.awt.Point[x=4,y=6], NORTH
move, small_fish7, java.awt.Point[x=16,y=9], java.awt.Point[x=10,y=1], NORTH
move, small_fish34, java.awt.Point[x=15,y=12], java.awt.Point[x=7,y=15], NORTH
move, small_fish15, java.awt.Point[x=1,y=4], java.awt.Point[x=11,y=10], NORTH
move, small_fish19, java.awt.Point[x=16,y=7], java.awt.Point[x=3,y=6], NORTH
move, small_fish18, java.awt.Point[x=12,y=15], java.awt.Point[x=13,y=10], NORTH
move, small_fish2, java.awt.Point[x=10,y=16], java.awt.Point[x=16,y=15], NORTH
move, small_fish7, java.awt.Point[x=10,y=1], java.awt.Point[x=2,y=12], NORTH
move, small_fish23, java.awt.Point[x=1,y=11], java.awt.Point[x=8,y=16], NORTH
move, small_fish20, java.awt.Point[x=4,y=6], java.awt.Point[x=10,y=4], NORTH
move, small_fish23, java.awt.Point[x=8,y=16], java.awt.Point[x=10,y=11], NORTH
move, small_fish21, java.awt.Point[x=5,y=6], java.awt.Point[x=14,y=13], NORTH
move, small_fish12, java.awt.Point[x=7,y=2], java.awt.Point[x=14,y=3], NORTH
move, small_fish19, java.awt.Point[x=3,y=6], java.awt.Point[x=3,y=11], NORTH
move, small_fish4, java.awt.Point[x=9,y=3], java.awt.Point[x=14,y=1], NORTH
move, small_fish32, java.awt.Point[x=9,y=4], java.awt.Point[x=15,y=12], NORTH
move, small_fish6, java.awt.Point[x=10,y=6], java.awt.Point[x=4,y=14], NORTH
move, small_fish0, java.awt.Point[x=4,y=1], java.awt.Point[x=3,y=9], NORTH
move, small_fish11, java.awt.Point[x=3,y=15], java.awt.Point[x=9,y=1], NORTH
move, small_fish6, java.awt.Point[x=4,y=14], java.awt.Point[x=16,y=10], NORTH
move, small_fish3, java.awt.Point[x=6,y=3], java.awt.Point[x=5,y=7], NORTH
move, small_fish3, java.awt.Point[x=5,y=7], java.awt.Point[x=12,y=16], NORTH
move, small_fish17, java.awt.Point[x=6,y=4], java.awt.Point[x=1,y=9], NORTH
move, small_fish27, java.awt.Point[x=2,y=7], java.awt.Point[x=9,y=3], NORTH
move, small_fish17, java.awt.Point[x=1,y=9], java.awt.Point[x=2,y=7], NORTH
move, small_fish26, java.awt.Point[x=5,y=14], java.awt.Point[x=1,y=1], NORTH
move, small_fish26, java.awt.Point[x=1,y=1], java.awt.Point[x=3,y=10], NORTH
move, small_fish19, java.awt.Point[x=3,y=11], java.awt.Point[x=1,y=16], NORTH
move, small_fish26, java.awt.Point[x=3,y=10], java.awt.Point[x=11,y=4], NORTH
move, small_fish27, java.awt.Point[x=9,y=3], java.awt.Point[x=10,y=12], NORTH
move, small_fish20, java.awt.Point[x=10,y=4], java.awt.Point[x=12,y=4], NORTH
move, small_fish1, java.awt.Point[x=7,y=4], java.awt.Point[x=12,y=14], NORTH
move, small_fish19, java.awt.Point[x=1,y=16], java.awt.Point[x=2,y=6], NORTH
move, small_fish7, java.awt.Point[x=2,y=12], java.awt.Point[x=7,y=11], NORTH
move, small_fish0, java.awt.Point[x=3,y=9], java.awt.Point[x=2,y=9], NORTH
move, small_fish23, java.awt.Point[x=10,y=11], java.awt.Point[x=14,y=9], NORTH
move, small_fish27, java.awt.Point[x=10,y=12], java.awt.Point[x=6,y=12], NORTH
move, small_fish3, java.awt.Point[x=12,y=16], java.awt.Point[x=3,y=15], NORTH
